"startDate","endDate","afam","racial","aa","black","negro","rd","cr","seg"
"19010101","19010401",22,28,74,581,203,1,76,4
"19010401","19010701",17,24,46,618,230,1,64,3
"19010701","19011001",9,19,68,701,229,0,52,6
"19011001","19020101",21,23,66,693,222,1,75,6
"19020101","19020401",17,19,78,601,150,1,75,3
"19020401","19020701",13,20,73,671,151,1,72,4
"19020701","19021001",8,20,53,625,201,0,74,7
"19021001","19030101",25,23,45,733,194,1,58,9
"19030101","19030401",31,19,61,704,267,1,56,11
"19030401","19030701",21,45,36,702,320,3,75,7
"19030701","19031001",16,20,51,763,387,0,53,5
"19031001","19040101",26,29,43,646,260,0,46,7
"19040101","19040401",12,30,34,575,251,0,56,5
"19040401","19040701",10,12,19,618,278,0,47,1
"19040701","19041001",12,24,27,737,294,3,44,4
"19041001","19050101",6,27,19,594,187,2,45,4
"19050101","19050401",9,29,21,414,201,1,30,4
"19050401","19050701",9,22,18,501,207,1,30,4
"19050701","19051001",4,26,18,575,232,2,26,1
"19051001","19060101",15,29,11,551,178,1,39,1
"19060101","19060401",24,9,25,484,229,1,24,2
"19060401","19060701",11,14,19,512,188,2,26,3
"19060701","19061001",8,18,25,559,282,0,39,4
"19061001","19070101",10,30,47,548,336,1,43,9
"19070101","19070401",11,13,28,562,266,0,41,10
"19070401","19070701",13,23,25,556,201,0,37,6
"19070701","19071001",3,43,22,611,226,5,33,4
"19071001","19080101",7,28,22,568,207,2,32,14
"19080101","19080401",6,16,20,581,183,2,30,5
"19080401","19080701",12,21,20,588,246,0,27,5
"19080701","19081001",5,25,34,630,239,1,39,7
"19081001","19090101",5,25,30,566,169,0,29,6
"19090101","19090401",9,34,41,599,201,1,35,31
"19090401","19090701",7,41,35,647,230,2,27,18
"19090701","19091001",12,24,36,588,188,2,20,23
"19091001","19100101",7,43,48,594,193,2,36,7
"19100101","19100401",21,25,55,653,208,0,25,11
"19100401","19100701",8,31,80,744,248,0,36,10
"19100701","19101001",6,21,34,716,254,0,31,7
"19101001","19110101",6,34,48,686,188,0,42,15
"19110101","19110401",4,34,33,601,256,3,45,12
"19110401","19110701",14,25,31,650,219,1,49,20
"19110701","19111001",19,36,31,719,235,1,29,15
"19111001","19120101",7,32,29,743,251,2,46,20
"19120101","19120401",22,39,41,718,192,4,50,18
"19120401","19120701",15,45,42,689,281,1,42,15
"19120701","19121001",14,33,44,642,264,0,51,21
"19121001","19130101",11,47,43,765,165,0,47,24
"19130101","19130401",7,38,41,652,187,2,47,26
"19130401","19130701",11,49,43,623,171,8,50,23
"19130701","19131001",18,38,44,651,175,6,47,16
"19131001","19140101",18,44,35,717,152,3,55,23
"19140101","19140401",11,36,38,649,197,1,47,19
"19140401","19140701",13,45,41,610,180,5,40,17
"19140701","19141001",6,50,28,564,127,2,47,7
"19141001","19150101",9,58,33,689,172,3,77,11
"19150101","19150401",9,47,32,611,135,2,72,14
"19150401","19150701",12,55,31,699,157,1,95,7
"19150701","19151001",14,63,28,623,124,3,83,11
"19151001","19160101",20,44,33,721,109,1,75,9
"19160101","19160401",14,51,43,595,149,4,63,9
"19160401","19160701",18,65,23,586,168,9,75,9
"19160701","19161001",7,54,27,697,123,0,78,11
"19161001","19170101",11,48,16,534,94,2,71,4
"19170101","19170401",25,35,27,470,108,1,64,5
"19170401","19170701",9,43,25,434,93,1,45,6
"19170701","19171001",7,58,23,455,130,2,58,8
"19171001","19180101",12,40,19,546,104,3,54,17
"19180101","19180401",8,51,24,468,103,1,45,7
"19180401","19180701",14,59,28,557,105,0,51,5
"19180701","19181001",8,46,21,518,102,1,41,4
"19181001","19190101",7,46,17,484,53,2,65,4
"19190101","19190401",18,89,29,444,110,9,74,4
"19190401","19190701",15,117,22,469,118,11,59,10
"19190701","19191001",25,90,29,495,145,2,84,7
"19191001","19200101",17,73,12,511,147,4,40,10
"19200101","19200401",27,60,30,510,119,4,55,3
"19200401","19200701",24,60,20,516,154,3,63,11
"19200701","19201001",8,77,32,516,165,4,67,11
"19201001","19210101",21,83,25,658,158,2,36,29
"19210101","19210401",19,86,36,616,209,3,51,30
"19210401","19210701",22,57,37,835,281,1,61,35
"19210701","19211001",14,87,45,759,191,5,64,16
"19211001","19220101",21,101,34,690,230,7,76,20
"19220101","19220401",9,51,31,750,279,1,54,7
"19220401","19220701",17,89,39,822,260,5,77,16
"19220701","19221001",12,80,41,818,294,6,67,6
"19221001","19230101",12,117,45,858,246,4,68,20
"19230101","19230401",17,129,50,862,280,12,73,20
"19230401","19230701",22,114,59,847,267,8,83,17
"19230701","19231001",12,73,42,862,312,4,67,18
"19231001","19240101",18,115,63,735,286,7,60,7
"19240101","19240401",35,99,40,790,286,16,61,10
"19240401","19240701",25,177,44,854,306,26,90,25
"19240701","19241001",10,155,52,872,349,9,67,17
"19241001","19250101",18,104,35,814,285,8,70,20
"19250101","19250401",23,116,46,912,367,3,56,25
"19250401","19250701",20,93,61,972,323,8,69,32
"19250701","19251001",21,115,56,891,381,9,57,12
"19251001","19260101",18,122,58,881,394,8,67,12
"19260101","19260401",26,105,45,935,347,11,79,23
"19260401","19260701",34,106,63,1055,357,9,112,27
"19260701","19261001",14,100,46,1040,383,5,79,16
"19261001","19270101",19,101,55,1175,369,3,83,19
"19270101","19270401",20,88,60,1016,313,5,99,35
"19270401","19270701",9,81,52,1180,332,8,83,21
"19270701","19271001",15,80,57,1230,351,3,49,17
"19271001","19280101",16,103,73,1075,357,3,46,14
"19280101","19280401",25,107,96,1188,420,5,81,14
"19280401","19280701",22,110,95,1258,438,9,84,34
"19280701","19281001",13,96,142,1198,457,7,71,23
"19281001","19290101",10,122,111,1118,412,8,67,22
"19290101","19290401",22,99,99,1192,328,1,77,35
"19290401","19290701",12,96,118,1116,350,6,69,32
"19290701","19291001",15,103,81,1126,372,10,81,31
"19291001","19300101",22,128,99,1218,377,10,73,46
"19300101","19300401",26,120,139,1417,451,2,102,53
"19300401","19300701",22,119,138,1282,503,6,70,40
"19300701","19301001",14,112,82,1335,483,4,62,34
"19301001","19310101",39,119,108,1222,407,10,69,36
"19310101","19310401",23,103,134,1360,456,7,98,63
"19310401","19310701",17,118,128,1273,438,7,98,47
"19310701","19311001",19,99,97,1282,435,5,67,25
"19311001","19320101",23,87,122,1251,435,6,79,24
"19320101","19320401",26,110,68,1155,351,11,84,28
"19320401","19320701",25,120,52,929,343,14,62,24
"19320701","19321001",16,109,50,977,327,9,73,29
"19321001","19330101",45,100,66,1058,316,7,81,27
"19330101","19330401",26,136,58,1066,332,17,83,36
"19330401","19330701",18,174,41,1075,298,25,73,30
"19330701","19331001",14,131,63,1007,257,9,53,23
"19331001","19340101",27,173,65,1151,350,13,88,38
"19340101","19340401",24,138,33,1209,314,10,111,45
"19340401","19340701",33,165,56,1226,315,9,75,33
"19340701","19341001",15,111,51,1174,247,10,90,18
"19341001","19350101",10,131,49,1136,338,13,75,13
"19350101","19350401",19,143,67,1123,359,8,70,17
"19350401","19350701",22,119,77,1248,427,15,83,23
"19350701","19351001",25,200,142,1282,445,18,66,30
"19351001","19360101",23,160,122,1199,396,24,71,32
"19360101","19360401",33,152,74,1185,326,8,101,19
"19360401","19360701",24,142,72,1323,447,9,148,44
"19360701","19361001",17,148,52,1181,459,8,108,27
"19361001","19370101",20,151,65,1273,422,4,135,53
"19370101","19370401",19,138,107,1525,463,17,211,30
"19370401","19370701",24,121,132,1731,470,6,194,20
"19370701","19371001",13,143,131,1753,513,12,170,30
"19371001","19380101",27,156,104,1688,446,13,182,22
"19380101","19380401",34,174,109,1555,341,17,157,27
"19380401","19380701",32,179,94,1507,386,3,240,22
"19380701","19381001",21,216,83,1340,432,24,203,20
"19381001","19390101",28,370,121,1523,408,29,241,24
"19390101","19390401",38,243,116,1388,441,19,210,28
"19390401","19390701",30,211,110,1434,412,20,188,21
"19390701","19391001",25,172,107,1392,404,16,122,19
"19391001","19400101",25,177,126,1626,384,8,177,15
"19400101","19400401",29,153,104,1450,421,16,194,17
"19400401","19400701",26,135,140,1417,344,10,184,15
"19400701","19401001",16,134,189,1230,366,10,127,7
"19401001","19410101",20,204,170,1262,408,16,138,21
"19410101","19410401",18,120,258,1103,351,16,124,17
"19410401","19410701",16,128,374,1097,320,20,110,15
"19410701","19411001",7,122,215,1157,298,9,73,16
"19411001","19420101",24,144,242,1202,382,18,104,17
"19420101","19420401",9,142,152,1047,310,19,69,24
"19420401","19420701",17,158,198,952,355,32,74,20
"19420701","19421001",6,130,245,1082,297,28,78,20
"19421001","19430101",14,164,790,1076,409,37,68,25
"19430101","19430401",11,127,319,1047,310,22,77,14
"19430401","19430701",23,134,360,1101,320,38,72,30
"19430701","19431001",12,159,243,968,293,47,61,36
"19431001","19440101",21,158,187,932,318,39,62,40
"19440101","19440401",12,177,123,961,307,31,76,26
"19440401","19440701",21,179,95,1049,362,46,85,31
"19440701","19441001",22,165,71,871,342,36,77,22
"19441001","19450101",15,177,68,946,286,32,121,22
"19450101","19450401",23,170,83,1172,336,70,89,30
"19450401","19450701",30,139,85,1228,334,38,70,13
"19450701","19451001",14,151,75,1095,313,34,89,23
"19451001","19460101",22,225,64,1151,337,46,92,29
"19460101","19460401",30,197,89,1186,335,48,184,32
"19460401","19460701",55,242,126,1326,438,67,178,34
"19460701","19461001",13,222,128,1356,461,56,177,34
"19461001","19470101",37,284,127,1344,459,71,212,43
"19470101","19470401",39,239,81,1161,423,79,222,43
"19470401","19470701",35,208,107,1137,450,65,200,54
"19470701","19471001",35,183,70,1065,421,74,138,49
"19471001","19480101",29,221,86,1080,432,71,227,59
"19480101","19480401",25,230,55,952,413,73,299,107
"19480401","19480701",37,212,71,894,388,63,364,109
"19480701","19481001",16,217,62,982,463,70,381,126
"19481001","19490101",20,212,81,1092,438,59,333,82
"19490101","19490401",41,244,95,1120,480,75,370,98
"19490401","19490701",24,221,84,1007,470,71,261,98
"19490701","19491001",29,190,87,1102,460,49,240,57
"19491001","19500101",28,249,95,1102,465,88,314,82
"19500101","19500401",30,204,169,1312,352,62,328,89
"19500401","19500701",33,243,165,1211,405,66,277,116
"19500701","19501001",26,181,167,1318,384,47,213,80
"19501001","19510101",35,141,167,1357,326,42,222,64
"19510101","19510401",40,148,156,1243,310,48,162,62
"19510401","19510701",25,137,182,1231,363,32,158,75
"19510701","19511001",20,140,166,1294,319,42,170,53
"19511001","19520101",25,155,188,1273,340,34,177,60
"19520101","19520401",21,189,78,1093,381,54,194,82
"19520401","19520701",33,207,75,996,322,56,289,102
"19520701","19521001",22,200,78,1081,356,59,403,97
"19521001","19530101",15,247,82,1093,369,57,272,142
"19530101","19530401",20,204,58,1047,272,52,211,105
"19530401","19530701",18,181,71,1032,282,33,163,88
"19530701","19531001",15,189,87,1067,268,52,133,87
"19531001","19540101",25,177,59,987,281,32,140,120
"19540101","19540401",28,162,68,995,260,45,150,77
"19540401","19540701",33,222,78,1014,332,50,129,282
"19540701","19541001",20,221,78,960,307,45,120,210
"19541001","19550101",17,213,77,1005,363,42,153,216
"19550101","19550401",29,170,101,950,304,44,136,150
"19550401","19550701",11,233,129,901,271,59,141,212
"19550701","19551001",8,183,101,856,274,41,120,150
"19551001","19560101",14,249,97,968,311,55,177,200
"19560101","19560401",25,365,204,1179,561,81,276,431
"19560401","19560701",18,332,205,1144,400,71,383,317
"19560701","19561001",16,344,176,1197,508,59,448,361
"19561001","19570101",17,274,201,1168,497,43,309,236
"19570101","19570401",22,280,234,1084,412,53,325,206
"19570401","19570701",17,258,193,1103,327,58,362,165
"19570701","19571001",16,706,189,1182,664,76,601,256
"19571001","19580101",23,485,202,1200,509,57,249,201
"19580101","19580401",14,281,110,929,292,49,190,107
"19580401","19580701",16,306,105,912,359,48,180,136
"19580701","19581001",23,661,106,930,596,59,238,260
"19581001","19590101",11,504,90,895,418,75,283,204
"19590101","19590401",19,413,119,968,423,72,294,171
"19590401","19590701",12,331,113,1026,399,61,186,140
"19590701","19591001",13,455,121,962,507,78,289,135
"19591001","19600101",16,262,151,975,348,47,183,87
"19600101","19600401",21,525,155,1053,710,144,522,236
"19600401","19600701",25,570,195,1083,584,135,303,311
"19600701","19601001",27,449,301,1038,582,94,483,171
"19601001","19610101",17,431,300,1105,582,95,310,178
"19610101","19610401",12,508,219,1005,596,117,252,208
"19610401","19610701",20,573,203,1069,595,121,261,278
"19610701","19611001",13,426,197,1028,582,107,243,180
"19611001","19620101",18,428,233,1002,524,132,240,202
"19620101","19620401",19,448,265,1242,559,128,262,224
"19620401","19620701",18,402,258,1341,567,108,256,198
"19620701","19621001",26,574,279,1355,853,127,320,281
"19621001","19630101",17,391,241,1112,634,120,228,174
"19630101","19630401",10,165,66,294,198,66,113,67
"19630401","19630701",16,1185,296,1424,1478,370,734,504
"19630701","19631001",24,1556,315,1399,1747,481,1313,443
"19631001","19640101",25,783,274,1497,990,242,915,218
"19640101","19640401",13,878,170,1212,923,161,1080,296
"19640401","19640701",12,1129,153,1266,1251,207,1509,394
"19640701","19641001",13,1243,152,1182,1356,116,1438,415
"19641001","19650101",6,657,223,1219,851,97,881,211
"19650101","19650401",16,781,213,1304,1147,152,1010,358
"19650401","19650701",19,842,172,1252,992,142,990,356
"19650701","19651001",18,805,156,1055,1003,124,915,341
"19651001","19660101",7,648,188,1355,802,124,704,263
"19660101","19660401",23,605,301,1647,953,151,756,217
"19660401","19660701",20,637,289,1683,994,142,869,173
"19660701","19661001",18,978,284,1725,1321,160,1066,227
"19661001","19670101",12,685,315,1699,1008,124,825,200
"19670101","19670401",12,503,305,1603,817,114,648,74
"19670401","19670701",19,658,242,1544,991,139,668,81
"19670701","19671001",16,1043,216,1643,1580,145,712,100
"19671001","19680101",25,690,261,1615,1134,105,565,76
"19680101","19680401",17,676,191,1491,1153,125,585,66
"19680401","19680701",28,926,175,1855,1722,149,794,84
"19680701","19681001",18,876,139,1820,1486,119,536,77
"19681001","19690101",11,985,156,2026,1329,95,490,69
"19690101","19690401",20,656,181,2035,1232,103,496,85
"19690401","19690701",24,675,149,2188,1202,101,546,69
"19690701","19691001",27,607,176,1826,845,104,482,92
"19691001","19700101",20,593,129,2111,720,92,465,82
"19700101","19700401",25,727,257,2406,658,108,552,149
"19700401","19700701",15,639,211,2555,677,82,506,116
"19700701","19701001",15,624,174,2427,506,114,381,103
"19701001","19710101",12,545,196,2434,404,105,388,58
"19710101","19710401",24,421,140,2017,303,102,375,80
"19710401","19710701",22,531,130,2332,293,93,376,97
"19710701","19711001",19,476,112,2018,255,91,400,100
"19711001","19720101",23,439,138,2078,249,79,386,70
"19720101","19720401",39,525,144,2268,183,97,472,115
"19720401","19720701",36,393,112,2226,131,49,393,88
"19720701","19721001",46,372,161,2191,107,65,343,43
"19721001","19730101",43,537,125,2529,106,84,408,51
"19730101","19730401",37,461,192,2620,120,80,448,52
"19730401","19730701",27,377,221,2366,89,63,423,44
"19730701","19731001",21,359,194,2150,77,52,378,43
"19731001","19740101",47,395,235,2327,81,52,409,36
